ingredient_code,ingredient_name,english_name,cas_no,old_name
14217,리튬하이드록사이드,Lithium Hydroxide,1310-65-2,
14167,다이부틸에탄올아민,Dibutyl Ethanolamine,102-81-8,
13884,에탄올아민에이치씨엘,Ethanolamine HCl,2002-24-6,
13759,페놀설폰프탈레인,Phenolsulfonphthalein,143-74-8,
13543,트라이펩타이드-51,Tripeptide-51,,
13490,에틸에탄올아민,Ethyl Ethanolamine,110-73-6,
13416,글루타릭애씨드,Glutaric Acid,110-94-1,
13415,글루코헵토닉애씨드,Glucoheptonic Acid,23351-51-1,
13380,칼슘다이하이드로젠포스페이트,Calcium Dihydrogen Phosphate,7758-23-8,
13352,옥살릭애씨드,Oxalic Acid,144-62-7,
13329,갈락투로닉애씨드,Galacturonic Acid,14982-50-4 (DL-) 552-12-5 (D-) 685-73-4 (D-),
13026,다이프로필렌트라이아민,Dipropylenetriamine,56-18-8,
12931,다이올레오일에데톨모늄메토설페이트,Dioleoyl Edetolmonium Methosulfate,,
12792,암모늄카바메이트,Ammonium Carbamate,1111-78-0,
12697,알루미늄트라이포메이트,Aluminum Triformate,7360-53-4,
12594,퀴닉애씨드,Quinic Acid,36413-60-2 562-73-2 77-95-2,
12553,말로닉애씨드,Malonic Acid,141-82-2,
12464,리튬카보네이트,Lithium Carbonate,554-13-2,
12371,2-아미노부탄올,2-Aminobutanol,96-20-8,
12123,포타슘바이프탈레이트,Potassium Biphthalate,877-24-7,
12083,펜타포타슘트라이포스페이트,Pentapotassium Triphosphate,13845-36-8,
11940,하이드로브로믹애씨드,Hydrobromic Acid,10035-10-6,
11634,아이소프로필아민,Isopropylamine,75-31-0,
11619,아세틸만델릭애씨드,Acetyl Mandelic Acid,51019-43-3(D-) 7322-88-5(L-),
11599,소듐푸마레이트,Sodium Fumarate,5873-57-4 7704-73-6,
11564,아미노프로판다이올,Aminopropanediol,616-30-8,
11549,소듐트라이메타포스페이트,Sodium Trimetaphosphate,7785-84-4,
11434,소듐시아네이트,Sodium Cyanate,917-61-3,
11303,세스퀴에톡시트라이에탄올아민,Sesquiethoxytriethanolamine,,
11178,포타슘보레이트,Potassium Borate,1332-77-0,
11126,포타슘나이트레이트,Potassium Nitrate,7757-79-1,
10347,코코넛꽃슈가,Coconut Flower Sugar,,
9395,포타슘마그네슘아스파테이트,Potassium Magnesium Aspartate,67528-13-6,
9358,포타슘타트레이트,Potassium Tartrate,921-53-9,
8126,현미초,Brown Rice Vinegar,,
8073,소듐옥사이드,Sodium Oxide,1313-59-3,
8071,포타슘옥사이드,Potassium Oxide,12136-45-7,
8068,소듐아라키데이트,Sodium Arachidate,13257-34-6,
6992,칼슘시트레이트,Calcium Citrate,5785-44-4,
6761,포믹애씨드,Formic Acid,64-18-6,
6236,소듐아니세이트,Sodium Anisate,536-45-8,
6197,아이소프로판올아민,Isopropanolamine,78-96-6,이소프로판올아민
6195,트라이소듐설포석시네이트,Trisodium Sulfosuccinate,13419-59-5,트리소듐설포석시네이트
5882,다이메틸엠이에이,Dimethyl MEA,108-01-0,디메칠엠이에이
5876,소듐디옥시콜레이트,Sodium Deoxycholate,302-95-4,소듐데옥시콜레이트
5818,포타슘시트레이트,Potassium Citrate,866-84-2,
5800,소듐세스퀴카보네이트,Sodium Sesquicarbonate,533-96-0,
5674,소듐알루미네이트,Sodium Aluminate,1302-42-7,
5453,락틱애씨드,Lactic Acid,50-21-5 79-33-4,
5443,락토바이오닉애씨드,Lactobionic Acid,96-82-2,
5258,다이포타슘포스페이트,Dipotassium Phosphate,7758-11-04,디포타슘포스페이트
5197,다이올레일포스페이트,Dioleyl Phosphate,14450-07-8,디올레일포스페이트
5133,다이소듐포스페이트,Disodium Phosphate,10140-65-5 7558-79-4 7782-85 10028-24-7 (dihydrate) 10039-32-4 (dodecahydrate),디소듐포스페이트
5131,다이소듐파이로포스페이트,Disodium Pyrophosphate,7758-16-9,디소듐파이로포스페이트
5128,다이소듐타트레이트,Disodium Tartrate,6106-24-7 868-18-8,디소듐타트레이트
4622,하이드로클로릭애씨드,Hydrochloric Acid,7647-01-0,
3990,프로피오닉애씨드,Propionic Acid,79-09-4,
3971,푸마릭애씨드,Fumaric Acid,110-17-8 6315-18-0,
3709,포타슘하이드록사이드,Potassium Hydroxide,1310-58-3,
3707,포타슘포스페이트,Potassium Phosphate,7778-77-0 16068-46-5,
3692,포타슘카보네이트,Potassium Carbonate,584-08-7,
3675,포타슘바이카보네이트,Potassium Bicarbonate,298-14-6,
3663,포스포릭애씨드,Phosphoric Acid,7664-38-2,
3615,펜타소듐트라이포스페이트,Pentasodium Triphosphate,7758-29-4,펜타소듐트리포스페이트
3386,트라이에탄올아민,Triethanolamine,102-71-6,트리에탄올아민
3373,트라이소듐포스페이트,Trisodium Phosphate,7601-54-9,트리소듐포스페이트
3317,트로메타민,Tromethamine,77-86-1,
3273,테트라포타슘파이로포스페이트,Tetrapotassium Pyrophosphate,7320-34-5,
3270,테트라소듐파이로포스페이트,Tetrasodium Pyrophosphate,7722-88-5,
3234,타타릭애씨드,Tartaric Acid,133-37-9 (DL-) 147-71-7 (D-) 87-69-4 (L-),
3016,케토글루타릭애씨드,Ketoglutaric Acid,328-50-7,
2972,칼슘하이드록사이드,Calcium Hydroxide,1305-62-0,
2961,칼슘옥사이드,Calcium Oxide,1305-78-8,
2768,징크글라이시네이트,Zinc Glycinate,14281-83-5,징크글리시네이트
2433,이미다졸,Imidazole,288-32-4,
2095,에탄올아민,Ethanolamine,141-43-5,
1964,암모니아,Ammonia,7664-41-7,
1962,암모늄하이드록사이드,Ammonium Hydroxide,1336-21-6,
1959,암모늄포스페이트,Ammonium Phosphate,7722-76-1,
1953,암모늄카보네이트,Ammonium Carbonate,506-87-6 10361-29-2,
1939,암모늄바이카보네이트,Ammonium Bicarbonate,1066-33-7,
1934,암모늄글라이콜레이트,Ammonium Glycolate,35249-89-9,
1720,아스코빅애씨드,Ascorbic Acid,50-81-7(L-Form) 62624-30-0,
1688,아세틱애씨드,Acetic Acid,64-19-7,
1656,아미노에틸프로판다이올,Aminoethyl Propanediol,115-70-8,아미노에칠프로판디올
1653,아미노메틸프로판올,Aminomethyl Propanol,124-68-5,아미노메칠프로판올
1652,아미노메틸프로판다이올,Aminomethyl Propanediol,115-69-5,아미노메칠프로판디올
1620,아디픽애씨드,Adipic Acid,124-04-9,
1532,시트릭애씨드,Citric Acid,77-92-9 5949-29-1,
1263,소듐하이드록사이드,Sodium Hydroxide,1310-73-2,
1187,소듐카보네이트,Sodium Carbonate,497-19-8,
1146,소듐실리케이트,Sodium Silicate,1344-09-8,
1145,소듐시트레이트,Sodium Citrate,994-36-5 6132-04-3 (dihydrate) 68-04-2 (anhydrous),
1126,소듐석시네이트,Sodium Succinate,2922-54-5,
1119,소듐보레이트,Sodium Borate,1303-96-4(Hydrous) 1330-43-4,
1112,소듐바이카보네이트,Sodium Bicarbonate,144-55-8,
1111,소듐바이설페이트,Sodium Bisulfate,7681-38-1,
1034,소듐글라이콜레이트,Sodium Glycolate,2836-32-0,
918,세바식애씨드,Sebacic Acid,111-20-6,
905,설프릭애씨드,Sulfuric Acid,7664-93-9,
895,글루쿠로닉애씨드,Glucuronic Acid,576-37-4(DL-) 6556-12-3(D-),
888,석시닉애씨드,Succinic Acid,110-15-6,
806,글루코사민에이치씨엘,Glucosamine HCl,66-84-2,
714,비스-하이드록시에틸트로메타민,Bis-Hydroxyethyl Tromethamine,6976-37-0,비스-하이드록시에칠트로메타민
671,비니거,Vinegar,8028-52-2,
647,글라이콜릭애씨드,Glycolic Acid,79-14-1,
506,벤조익애씨드,Benzoic Acid,65-85-0,
505,글리옥실릭애씨드,Glyoxylic Acid,298-12-4,글라이옥실릭애씨드
264,모노소듐시트레이트,Monosodium Citrate,18996-35-5,
237,메톡시피이지-114/폴리엡실론카프로락톤,Methoxy PEG-114/Polyepsilon Caprolactone,,메톡시피이지-114/폴리엡실론카프롤락톤
228,메타포스포릭애씨드,Metaphosphoric Acid,10343-62-1 37267-86-0,
170,메틸글루카민,Methylglucamine,6284-40-8,메칠글루카민
126,말토바이오닉애씨드,Maltobionic Acid,534-42-9,
123,말릭애씨드,Malic Acid,636-61-3 (D-) 6915-15-7 97-67-6 (L-),
113,말레익애씨드,Maleic Acid,110-16-7 6915-18-0,
65,마그네슘하이드록사이드,Magnesium Hydroxide,1309-42-8,
58,마그네슘카보네이트하이드록사이드,Magnesium Carbonate Hydroxide,7760-50-1 39409-82-0 12125-28-9,
56,구아니딘카보네이트,Guanidine Carbonate,593-85-1 100224-74-6,
54,마그네슘옥사이드,Magnesium Oxide,1309-48-4,
